,course_title,course_link
0,Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE (Universitat de Barcelona),https://www.coursera.org/learn/ictus-agudo-escala-race
1,Automate Blog Advertisements with Zapier (Coursera Project Network),https://www.coursera.org/learn/automate-blog-advertisements-zapier
2,Bases de Datos NoSQL en Azure (Coursera Project Network),https://www.coursera.org/learn/bases-datos-nosql-azure
3,Brand & Content Marketing (IE Business School),https://www.coursera.org/learn/brand-and-content-marketing
4,Build an ultimate stock monitoring list using Google Sheets (Coursera Project Network),https://www.coursera.org/learn/build-stock-monitoring-google-sheets
5,Cluster Analysis using RCmdr (Coursera Project Network),https://www.coursera.org/learn/cluster-analysis-rcmdr
6,"Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado (IE Business School)",https://www.coursera.org/learn/comercio-inmigracion-tipos-de-cambio
7,Create a Budget with Google Sheets (Coursera Project Network),https://www.coursera.org/learn/create-a-budget-with-google-sheets
8,Création D'Identité Visuelle En Utilisant Canva (Coursera Project Network),https://www.coursera.org/learn/creation-identite-visuelle-impressionnant-utilisant-canva
9,Curso Completo de Spark con Databricks (Big Data) (Coursera Project Network),https://www.coursera.org/learn/curso-completo-spark-databricks
10,Debugging support for the Node.js runtime in VScode (Coursera Project Network),https://www.coursera.org/learn/debugging-nodejs-vscode
11,Enhance Organizational Communications with Slack (Coursera Project Network),https://www.coursera.org/learn/enhance-organizational-communications-with-slack
12,FPGA computing systems: Background knowledge and introductory materials (Politecnico di Milano),https://www.coursera.org/learn/fpga-intro
13,Fundamentals of the Chinese character writing. Part 2 (Saint Petersburg State University),https://www.coursera.org/learn/chinese-character-writing-2
14,Future Healthcare Payment Models (Northeastern University ),https://www.coursera.org/learn/healthcare-payment-models
15,"Get, Shape, Combine and Merge the datasets using Power BI (Coursera Project Network)",https://www.coursera.org/learn/get-shape-combine-and-merge-the-datasets-using-power-bi
16,IT Security: Defense against the digital dark arts (Google),https://www.coursera.org/learn/it-security
17,Improving Immunity Based on Traditional Eastern Exercises (Shanghai Jiao Tong University),https://www.coursera.org/learn/sjtuyoga
18,Intel® Network Academy - Network Transformation 101 (Intel),https://www.coursera.org/learn/network-transformation-101
19,International Labour Law (Saint Petersburg State University),https://www.coursera.org/learn/international-labour-law
20,Interview Preparation: STAR Method (Coursera Project Network),https://www.coursera.org/learn/interview-star-method
21,Introducción a la aplicación Google Docs (Coursera Project Network),https://www.coursera.org/learn/introduccion-google-docs
22,JavaScript While Loop (Coursera Project Network),https://www.coursera.org/learn/javascript-while-loop
23,Job Search Written Tools for Job Interviews (Coursera Project Network),https://www.coursera.org/learn/job-search-written-tools-for-job-interviews
24,Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life (The University of Edinburgh),https://www.coursera.org/learn/know-thyself-the-examined-life
25,L'utilisation optimal de LinkedIn (Coursera Project Network),https://www.coursera.org/learn/utilisation-optimal-linkedin
26,"Limits for AP®(Calculus AB,BC) & Data Science -with Visuals (Coursera Project Network)",https://www.coursera.org/learn/limits-course-for-advanced-placement-and-data-science-students
27,MYSQL Workbench إنشاء و تصميم قواعد البيانات باستخدام (Coursera Project Network),https://www.coursera.org/learn/database-creation-and-modeling-using-mysqlworkbench
28,Machine Learning Interpretable: interpretML y LIME (Coursera Project Network),https://www.coursera.org/learn/machine-learning-interpretable-lime
29,Mandarin Chinese for Intermediate Learners: Part 1 (Shanghai Jiao Tong University),https://www.coursera.org/learn/mandarin-chinese-intermediate-learners-1
30,Manejo del enfermo semicrítico y crítico por COVID-19 (Universitat de Barcelona),https://www.coursera.org/learn/covid-19-esp
31,Market your new business with Canva (Coursera Project Network),https://www.coursera.org/learn/market-new-business-canva
32,Modelling with WARP PLS (Coursera Project Network),https://www.coursera.org/learn/warp-pls
33,تحسين أداء العمل باستخدام نماذج غوغل (Coursera Project Network),https://www.coursera.org/learn/improve-business-performance-with-google-forms-ar
34,"""Making"" Progress Teach-Out (Emory University)",https://www.coursera.org/learn/makingprogress
35,#talkmentalillness (University of Colorado Boulder),https://www.coursera.org/learn/talkmentalillness
36,Modernizing Data Lakes and Data Warehouses with GCP (Google Cloud),https://www.coursera.org/learn/data-lakes-data-warehouses-gcp
37,"Natural Language Processing and Capstone Assignment (University of California, Irvine)",https://www.coursera.org/learn/natural-language-processing-captsone-assignment
38,Natural Language Processing for Stocks News Analysis (Coursera Project Network),https://www.coursera.org/learn/natural-language-processing-for-stocks-news-analysis
39,Non parametric Tests using R Cmdr (Coursera Project Network),https://www.coursera.org/learn/non-parametric-tests-rcmdr
40,Power BI  الحصول على البيانات وشكلها ودمجها باستخدام (Coursera Project Network),https://www.coursera.org/learn/manipulate-data-using-power-bi-desktop
